Website,CSP,X-Frame-Options,X-Content-Type-Options,HSTS,X-XSS-Protection,SSL_Config_Errors,Server_Version,Info_Exposure,HTTP_Methods,Email_Exposure,SecurityScore
google.com,1,1,0,0,1,0,0,0,0,0,3
ameren.com,0,0,0,0,0,0,0,0,0,0,0
pornhub.com,0,0,0,0,0,0,0,0,0,0,0
googletagmanager.com,0,0,0,0,1,0,0,0,0,0,1
linkedin.com,0,0,0,0,0,0,0,0,0,0,0
ajax.googleapis.com,0,0,1,0,1,0,0,0,0,0,2
plus.google.com,0,0,1,0,1,0,0,0,0,0,2
comcast.net,0,0,0,0,0,0,0,0,0,0,0
gmpg.org,0,0,0,0,0,0,0,0,0,0,0
pinterest.com,0,0,0,0,0,0,0,0,0,0,0
fonts.gstatic.com,0,0,1,0,1,0,0,0,0,0,2
wordpress.org,0,0,0,0,0,0,0,0,0,0,0
Blogspot.de,0,0,1,0,1,0,0,0,0,0,2
en.wikipedia.org,0,0,0,0,0,0,0,0,0,0,0
youtu.be,0,1,1,0,1,0,0,0,0,0,3
maps.google.com,1,1,0,0,1,0,0,0,0,0,3
clicnews.com,0,0,0,0,0,0,0,0,0,0,0
itunes.apple.com,0,0,0,1,0,0,0,0,0,0,1
ir.united.com,0,0,0,0,0,0,0,0,0,0,0
redtube.com,0,0,0,0,0,0,0,0,0,0,0
4chan.com,0,0,0,0,0,0,0,0,0,0,0
thisisnotasketchywebsite.com,0,0,0,0,0,0,0,0,0,0,0
mactep.com,0,0,0,1,0,0,0,0,0,0,1
github.com,0,0,0,0,0,0,0,0,0,0,0
bit.ly,0,0,0,0,0,0,0,0,0,0,0
play.google.com,0,1,1,0,1,0,0,0,0,0,3
goo.gl,0,1,1,0,1,0,0,0,0,0,3
docs.google.com,0,1,1,0,1,0,0,0,0,0,3
cdnjs.cloudflare.com,0,0,0,0,0,0,0,0,0,0,0
4shared.com,0,0,0,0,0,0,0,0,0,0,0
s3.amazonaws.com,0,0,0,0,0,0,0,0,0,0,0
code.jquery.com,0,0,0,0,0,0,0,0,0,0,0
dropbox.com,0,0,0,0,0,0,0,0,0,0,0
translate.google.com,0,1,1,0,1,0,0,0,0,0,3
paypal.com,0,0,0,1,0,0,0,0,0,0,1
apps.apple.com,0,0,0,0,0,0,0,0,0,0,0
tinyurl.com,0,0,0,0,0,0,0,0,0,0,0
etsy.com,0,0,0,0,0,0,0,0,0,0,0
facebook.com,0,0,0,0,0,0,0,0,0,0,0
apple.com,0,0,0,0,0,0,0,0,0,0,0
hihanin.com,0,0,0,0,0,0,0,0,0,0,0
washingtonpost.com,1,0,0,0,0,0,0,0,0,0,1
bbc.com,0,0,0,0,0,0,0,0,0,0,0
gstatic.com,0,0,1,0,1,0,0,0,0,0,2
imgur.com,0,1,0,1,0,0,0,0,0,0,2
amazon.de,0,0,0,0,0,0,0,0,0,0,0
bbc.co.uk,0,0,0,0,0,0,0,0,0,0,0
googleads.g.doubleclick.net,0,0,1,0,1,0,0,0,0,0,2
mozilla.org,1,1,0,0,0,0,0,0,0,0,2
gncr.org,0,0,0,0,0,0,0,0,0,0,0
eventbrite.com,0,0,0,0,0,0,0,0,0,0,0
slideshare.net,0,0,0,1,0,0,0,0,0,0,1
w3.org,0,0,0,0,0,0,0,0,0,0,0
forms.gle,0,0,0,0,0,0,0,0,0,0,0
teamclouds.com,0,0,0,0,0,0,0,0,0,0,0
platform.twitter.com,0,0,0,0,0,0,0,0,0,0,0
accounts.google.com,1,1,1,0,1,0,0,0,0,0,4
telegraph.co.uk,0,0,0,0,0,0,0,0,0,0,0
Hotfile.com,0,0,0,0,0,0,0,0,0,0,0
messenger.com,0,0,0,0,0,0,0,0,0,0,0
web.archive.org,0,0,0,0,0,0,0,0,0,0,0
ginedis.com,0,0,0,0,0,0,0,0,0,0,0
secure.gravatar.com,0,0,0,0,0,0,0,0,0,0,0
Ucoz.com,0,1,0,0,0,0,0,0,0,0,1
usatoday.com,1,0,0,0,0,0,0,0,0,0,1
huffingtonpost.com,0,0,0,0,0,0,0,0,0,0,0
stackoverflow.com,0,0,0,0,0,0,0,0,0,0,0
fb.com,0,0,0,0,0,0,0,0,0,0,0
virus.com,0,0,0,0,0,0,0,0,0,0,0
analytics.google.com,0,0,1,0,1,0,0,0,0,0,2
lh5.googleusercontent.com,0,0,1,0,1,0,0,0,0,0,2
docs.microsoft.com,0,0,0,1,0,0,0,0,0,0,1
sapo.pt,0,0,0,0,0,0,0,0,0,0,0
groups.google.com,0,1,1,0,1,0,0,0,0,0,3
mixcloud.com,0,0,0,0,0,0,0,0,0,0,0
google.co.in,1,1,0,0,1,0,0,0,0,0,3
latimes.com,0,0,0,0,0,0,0,0,0,0,0
torbrowser.com,0,0,0,0,0,0,0,0,0,0,0
gist.github.com,0,0,0,0,0,0,0,0,0,0,0
download.macromedia.com,0,0,0,0,0,0,0,0,0,0,0
dailymail.co.uk,0,0,0,0,0,0,0,0,0,0,0
chaterbate.com,0,0,0,0,0,0,0,0,0,0,0
myaccount.google.com,0,1,1,0,1,0,0,0,0,0,3
line.me,0,0,0,0,0,0,0,0,0,0,0
unsplash.com,0,0,0,0,0,0,0,0,0,0,0
meetup.com,1,1,1,0,1,0,0,0,0,0,4
pronline.ru,0,0,0,0,0,0,0,0,0,0,0
